generation,species,id,fitness_or_confidence,flies_eaten_or_behavior_count,final_state_or_direction,wall_gene,food_gene,snake_gene,grass_gene,water_gene,wall_behaviors,food_behaviors,snake_behaviors,grass_behaviors,water_behaviors
0,frog,0,0,4,wall,0.11331123401258592,-0.06448678370600591,-0.05728695279893237,-0.32031936286909213,-0.11511336942982475,0,4,0,7,0
0,frog,1,0,0,wall,0.973939448881141,-0.848988058350906,-0.3691316554665789,0.5063166741233005,0.23612430043013188,0,0,0,0,0
0,frog,2,0,0,wall,0.9725935101268464,-0.45004153137055836,-0.6820299345995169,0.020245363305342545,0.6331856419522859,0,0,0,0,0
0,frog,3,0,0,eaten_by_snake,0.7406476424105142,-0.6088228552384818,0.6700815010739798,-0.3352450063965957,-0.5824323665210114,0,0,0,32,0
0,frog,4,0,3,wall,0.6191427216907617,0.23405659473071383,0.725700985459111,0.18628993849181685,0.21022075155173758,0,3,1,67,0
0,frog,5,0,3,wall,0.10235194916136736,-0.08998405224577644,0.8502015416965834,0.589698899881933,-0.9255000557394737,0,3,0,0,0
0,frog,6,0,7,wall,0.4307388469365776,0.880717350012739,0.7121645071394136,0.2754126509291148,-0.2398879652584447,0,5,0,0,0
0,frog,7,0,3,wall,0.8142175103003535,0.5442750361149102,-0.14519382271166736,0.6085514824874283,-0.7536805719500226,0,3,1,122,0
0,frog,8,0,0,wall,0.6317918258307973,-0.26249620283676145,-0.8272885206231095,0.9914157696765804,-0.7135614445706218,0,0,0,0,0
0,frog,9,0,6,wall,0.9071449702758578,0.43261673439592707,0.8360517177021116,-0.18841662070462073,-0.9869082182360833,0,5,0,51,0
0,frog,10,0,5,wall,0.08711626920674864,0.6181388542934716,-0.34002950333969184,-0.06697141056528655,-0.2220367534543315,0,5,5,79,0
0,frog,11,0,1,wall,0.420390868120847,0.10397358807374624,0.1515292053570032,-0.32614385701636506,0.5700436723105395,0,1,1,19,0
0,frog,12,0,0,wall,0.45784466671144686,-0.8068086122227465,-0.782224447922008,0.716893367445834,0.21301429761072121,1,0,1,10,0
